feature_id,layer,baseline_bankruptcy_rate,safe_bankruptcy_rate,risky_bankruptcy_rate,baseline_balance,safe_balance,risky_balance,delta_bankruptcy_safe,delta_bankruptcy_risky,delta_balance_safe,delta_balance_risky,baseline_n,safe_n,risky_n
19030,26,0.6,0.7,0.7666666666666667,47.333333333333336,41.0,28.333333333333332,0.09999999999999998,0.16666666666666674,-6.333333333333336,-19.000000000000004,30,30,30
19643,26,0.5333333333333333,0.7,0.7,61.666666666666664,49.666666666666664,40.333333333333336,0.16666666666666663,0.16666666666666663,-12.0,-21.33333333333333,30,30,30
20131,26,0.5333333333333333,0.6666666666666666,0.8,52.666666666666664,42.666666666666664,24.0,0.1333333333333333,0.2666666666666667,-10.0,-28.666666666666664,30,30,30
20752,26,0.6666666666666666,0.7333333333333333,0.7,43.5,45.0,35.833333333333336,0.06666666666666665,0.033333333333333326,1.5,-7.666666666666664,30,30,30
21198,26,0.43333333333333335,0.5666666666666667,0.7333333333333333,57.666666666666664,69.5,29.0,0.1333333333333333,0.29999999999999993,11.833333333333336,-28.666666666666664,30,30,30
21721,26,0.43333333333333335,0.6666666666666666,0.6666666666666666,76.16666666666667,37.5,45.5,0.23333333333333328,0.23333333333333328,-38.66666666666667,-30.66666666666667,30,30,30
22096,26,0.5666666666666667,0.6666666666666666,0.7333333333333333,66.66666666666667,52.666666666666664,43.666666666666664,0.09999999999999998,0.16666666666666663,-14.000000000000007,-23.000000000000007,30,30,30
22345,26,0.6,0.7333333333333333,0.7,44.166666666666664,39.0,44.333333333333336,0.1333333333333333,0.09999999999999998,-5.166666666666664,0.1666666666666714,30,30,30
22708,26,0.5666666666666667,0.7666666666666667,0.6333333333333333,44.3,37.5,64.0,0.20000000000000007,0.06666666666666665,-6.799999999999997,19.700000000000003,30,30,30
23375,26,0.36666666666666664,0.6333333333333333,0.7,52.833333333333336,54.666666666666664,39.0,0.26666666666666666,0.3333333333333333,1.8333333333333286,-13.833333333333336,30,30,30
23454,26,0.3,0.6666666666666666,0.6,79.16666666666667,36.666666666666664,45.166666666666664,0.36666666666666664,0.3,-42.50000000000001,-34.00000000000001,30,30,30
23764,26,0.4,0.7333333333333333,0.7,81.66666666666667,32.333333333333336,46.0,0.33333333333333326,0.29999999999999993,-49.333333333333336,-35.66666666666667,30,30,30
23893,26,0.43333333333333335,0.6666666666666666,0.7,81.0,42.333333333333336,59.333333333333336,0.23333333333333328,0.2666666666666666,-38.666666666666664,-21.666666666666664,30,30,30
