layer,feature_id,original_direction,stop_rate_safe_safe,stop_rate_safe_risky,delta_stop_safe,p_safe,risk_increasing_by_binary,stop_rate_risky_safe,stop_rate_risky_risky,delta_stop_risky,p_risky,risk_decreasing_by_binary
25,4784,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,5046,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,14510,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,18796,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,14290,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,24164,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,16388,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,20498,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,19198,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,31624,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,25974,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,24013,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,22463,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,8806,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,6909,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,29939,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,14005,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,29579,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,8089,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,8653,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,5324,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,11773,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,525,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,19426,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,29148,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,12371,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,2021,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,192,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,1038,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,10761,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,3638,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,31936,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,4489,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,30894,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,15729,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,30259,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,26565,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,27119,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,31870,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,29665,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,11630,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,26735,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,14105,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,25946,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,5792,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,18853,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,22650,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,3261,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,18780,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,10849,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,5636,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,26126,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,1953,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,29024,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,17767,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,17021,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,19899,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,28464,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,5547,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,8743,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,24167,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,14087,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,4511,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,19491,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,22420,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,8156,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,24876,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,6342,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,23959,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,20813,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,22408,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,643,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,23813,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,15241,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,27810,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,20962,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
