feature,safe_stop_delta,safe_bankruptcy_delta,safe_risky_stop_delta,safe_avg_bet_delta,risky_stop_delta,risky_bankruptcy_delta,risky_risky_stop_delta,risky_avg_bet_delta,classified_as
L30-24424,0.2333333333333333,0.033333333333333326,0.1,1.3999999999999986,0.2666666666666667,0.0,0.1,-6.333333333333334,neutral
L30-24630,0.0,0.09999999999999998,0.06666666666666667,4.166666666666664,0.0,-0.033333333333333326,0.1,-2.8333333333333357,neutral
L30-24798,0.3,-0.2,0.06666666666666665,-14.066666666666666,0.26666666666666666,0.1333333333333333,0.0,2.5,safe
L30-25122,0.2666666666666667,0.06666666666666671,0.16666666666666669,8.0,0.2666666666666667,0.033333333333333326,0.2,-1.5,neutral
L30-25241,0.4,0.09999999999999998,0.1,-2.3333333333333357,0.2333333333333333,-0.13333333333333336,0.033333333333333326,-9.666666666666668,neutral
L30-2537,0.30000000000000004,-0.10000000000000003,0.16666666666666666,-12.833333333333334,0.30000000000000004,-0.10000000000000003,0.06666666666666668,-8.666666666666668,safe
L30-25408,,0.033333333333333326,0.09999999999999999,1.1666666666666679,,-0.06666666666666665,0.2,-6.333333333333332,neutral
L30-25605,0.0,-0.06666666666666665,0.03333333333333333,0.5,0.0,0.06666666666666665,0.0,5.833333333333332,neutral
L30-26079,0.23333333333333336,-0.13333333333333336,0.09999999999999999,-19.366666666666667,0.4,0.06666666666666665,0.13333333333333336,-4.666666666666668,safe
L30-26106,0.2333333333333333,0.0,0.1,-11.499999999999996,0.33333333333333337,-0.10000000000000003,0.16666666666666666,-13.999999999999996,neutral
L30-26188,,-0.19999999999999998,0.06666666666666665,-6.166666666666668,,0.10000000000000003,-0.06666666666666668,4.666666666666664,neutral
L30-26211,0.07407407407407407,0.06666666666666671,0.06666666666666667,-9.166666666666668,0.0,0.13333333333333336,0.0,-0.3333333333333357,neutral
L30-26251,0.0,-0.23333333333333328,0.06666666666666667,-9.999999999999996,0.0,-0.3333333333333333,0.0,-13.333333333333332,neutral
L30-2634,0.2333333333333333,-0.033333333333333326,0.06666666666666668,-4.666666666666668,0.2666666666666666,0.03333333333333338,0.033333333333333354,-2.666666666666668,safe
L30-26388,0.30000000000000004,-0.033333333333333326,0.13333333333333333,-2.166666666666668,0.19999999999999998,0.10000000000000003,0.0,11.166666666666664,safe
L30-26681,0.5333333333333333,-0.2,0.06666666666666668,-8.333333333333334,0.2333333333333333,-0.09999999999999998,0.033333333333333326,-3.333333333333332,safe
L30-26780,0.4,0.0,-0.1,-13.666666666666668,0.33333333333333337,-0.033333333333333326,-0.1,-12.833333333333334,neutral
L30-26822,0.0,-0.16666666666666669,0.16666666666666666,-25.0,0.037037037037037035,-0.033333333333333326,0.06666666666666667,-11.333333333333332,neutral
L30-26984,0.16666666666666666,0.2,-0.06666666666666665,6.166666666666668,0.2333333333333333,0.06666666666666665,-0.06666666666666665,6.5,neutral
L30-27100,0.30000000000000004,-0.3,0.26666666666666666,-15.0,0.23333333333333336,-0.16666666666666663,0.23333333333333334,-10.833333333333332,safe
L30-27112,0.03571428571428571,-0.01839080459770115,0.07011494252873562,-7.7298850574712645,0.0,-0.06666666666666665,0.06666666666666668,-4.5,safe
